Sample,Error rate,Non-primary,Reads mapped,% Mapped,Total seqs,Reads mapped
SRR10983637,0.2781763,0.985246,1.2451619999999999,6.452302931498361,19.297947,2.2304079999999997
SRR10983638,0.2656941,8.642161999999999,15.759110999999999,75.42952742458345,20.892495999999998,24.401273
SRR10983639,0.2662586,7.633020999999999,15.015395,74.31825252811521,20.204182,22.648415999999997
SRR10983640,0.2768183,4.114752,12.425721999999999,78.88817874254407,15.751057,16.540474
SRR10983641,0.5527339,0.622611,0.44736,3.510735500499936,12.742628999999999,1.069971
SRR10983642,0.305758,12.458473,15.743333999999999,76.02273226074486,20.708719,28.201807
SRR10983643,0.2496036,28.909616,7.702062,53.282314993489535,14.455193999999999,36.611678
SRR10983644,0.3427305,1.219472,4.024846,24.420020523309816,16.481747,5.244318
SRR10983645,0.3321324,0.020425,0.032320999999999996,1.710029818780541,1.8900839999999999,0.052745999999999994
SRR10983646,0.29660960000000003,4.657579,10.657104,80.5105970463166,13.236896,15.314682999999999
SRR10983647,0.27982039999999997,6.257719,15.572574999999999,84.12847346007278,18.510469,21.830294
SRR10983648,0.279633,5.828891,14.065308,84.18559833521464,16.707499,19.894199
SRR10983649,0.2797534,4.284600999999999,12.403983,86.52509335780184,14.335706,16.688584
SRR10983650,0.5466928999999999,0.086397,0.16427,14.77714638343578,1.1116489999999999,0.250667
SRR10983651,0.306648,4.614662,12.080238,83.92635024277025,14.393856,16.6949
SRR10983652,0.2977243,1.222604,1.833154,12.365357593570337,14.824917,3.055758
SRR10983653,0.301921,0.303228,0.286939,1.6727262933622602,17.153972,0.590167
SRR10983654,0.3731103,0.7492329999999999,1.166309,6.636801385733861,17.57336,1.9155419999999999
SRR10983655,0.2967439,3.302159,2.750062,18.350064767595665,14.986661,6.052220999999999
SRR10983656,0.3030769,0.11215,0.302356,40.04842538040944,0.754976,0.414506
SRR10983657,0.2627575,6.865714,5.422794,56.572779895671786,9.585518,12.288508
SRR10983658,0.2687675,2.36395,7.530126999999999,75.17162150439137,10.017247,9.894077
SRR10983659,0.2706365,4.320345,11.944357,86.3082399722238,13.839184999999999,16.264702
SRR10983660,0.2716339,5.080454,10.838773999999999,83.7904695185809,12.935569,15.919227999999999
SRR10983661,0.30936420000000003,2.926008,7.108064,47.65514079225221,14.915629,10.034072
SRR10983662,0.26632859999999997,3.658988,10.920986,87.28999738952938,12.511154,14.579974
SRR10983663,0.2733965,3.7474529999999997,10.338928,84.57451255407318,12.224637999999999,14.086381
